OBJECTID,PlanningRegion,ARCModelingArea,GEOID,LogRecNo,SumLevel,NAME,OwnOcc_e19,OwnOcc_m19,ValLt50k_e19,ValLt50k_m19,pValLt50k_e19,pValLt50k_m19,Val50_100k_e19,Val50_100k_m19,pVal50_100k_e19,pVal50_100k_m19,Val100_150k_e19,Val100_150k_m19,pVal100_150k_e19,pVal100_150k_m19,Val150_200k_e19,Val150_200k_m19,pVal150_200k_e19,pVal150_200k_m19,Val200_300k_e19,Val200_300k_m19,pVal200_300k_e19,pVal200_300k_m19,Val300_500k_e19,Val300_500k_m19,pVal300_500k_e19,pVal300_500k_m19,Val500k_1m_e19,Val500k_1m_m19,pVal500k_1m_e19,pVal500k_1m_m19,Val1mP_e19,Val1mP_m19,pVal1mP_e19,pVal1mP_m19,ValLt100k_e19,ValLt100k_m19,pValLt100k_e19,pValLt100k_m19,Val100_300k_e19,Val100_300k_m19,pVal100_300k_e19,pVal100_300k_m19,Val300kPlus_e19,Val300kPlus_m19,pVal300kPlus_e19,pVal300kPlus_m19,mMedHUValue_e19,mMedHUValue_m19,SHAPE_Length,SHAPE_Area
559,Northwest Georgia,Yes,30132,3231,ZCTA,ZCTA5 30132,10263,535,248,128,2.4,1.2,808,234,7.9,2.2,1599,323,15.6,3,2350,389,22.9,3.6,3143,465,30.6,4.2,1896,371,18.5,3.5,172,98,1.7,1,47,68,0.5,0.7,1056,267,10.3,2.5,7092,687,69.1,5.6,2115,390,20.6,3.6,203200,10298,1.18425794253386,0.0279734249897372
560,Southern Georgia,No,31552,3724,ZCTA,ZCTA5 31552,355,148,122,96,34.4,23,82,78,23.1,19.8,47,39,13.2,9.4,25,43,7,11.8,48,73,13.5,19.8,31,33,8.7,8.5,0,18,0,5.2,0,23,0,6.3,204,124,57.5,25.4,120,93,33.8,22.2,31,44,8.7,11.8,,,1.16636932607783,0.0212350318866784
561,Coastal Regional Commission,No,31419,3694,ZCTA,ZCTA5 31419,11558,581,636,201,5.5,1.7,888,225,7.7,1.9,3094,457,26.8,3.7,3030,414,26.2,3.3,2738,426,23.7,3.5,818,184,7.1,1.6,205,96,1.8,0.8,149,98,1.3,0.8,1524,301,13.2,2.5,8862,749,76.7,5.2,1172,230,10.1,1.9,164400,4550,1.65478844672175,0.016851541621293
562,ARC / NW,Yes,30134,3232,ZCTA,ZCTA5 30134,9205,631,611,197,6.6,2.1,1458,295,15.8,3,2565,421,27.9,4.2,2773,435,30.1,4.2,1448,292,15.7,3,226,114,2.5,1.2,124,68,1.3,0.7,0,48,0,0.5,2069,355,22.5,3.5,6786,672,73.7,5.3,350,141,3.8,1.5,149400,6724,0.77348451983025,0.0125454986073352
563,Southern Georgia,No,31553,3725,ZCTA,ZCTA5 31553,1398,218,566,200,40.5,12.8,385,141,27.5,9.1,196,101,14,6.9,148,76,10.6,5.2,42,48,3,3.4,22,29,1.6,2.1,16,28,1.1,2,23,41,1.6,2.9,951,244,68,13.9,386,135,27.6,8.7,61,58,4.4,4.1,68900,21558,1.523967302256,0.0423716109335822
564,Atlanta Regional Commission,Yes,30135,3233,ZCTA,ZCTA5 30135,17027,620,463,164,2.7,1,1819,323,10.7,1.9,4037,497,23.7,2.8,4125,523,24.2,2.9,3751,441,22,2.5,2282,361,13.4,2.1,494,157,2.9,0.9,56,45,0.3,0.3,2282,362,13.4,2.1,11913,845,70,4.3,2832,397,16.6,2.2,171100,4059,0.908957531354917,0.0212429627859125
565,Southern Georgia,No,31554,3726,ZCTA,ZCTA5 31554,1330,161,521,126,39.2,8.2,240,69,18,4.7,286,121,21.5,8.7,130,63,9.8,4.6,104,59,7.8,4.3,37,35,2.8,2.6,12,24,0.9,1.8,0,33,0,2.5,761,144,57.2,8.3,520,149,39.1,10.1,49,54,3.7,4,77100,20366,1.5853575029502,0.0516629643569197
566,Northwest Georgia,Yes,30137,3234,ZCTA,ZCTA5 30137,470,96,55,46,11.7,9.5,87,49,18.5,9.7,93,42,19.8,7.9,134,52,28.5,9.3,24,17,5.1,3.6,21,13,4.5,2.7,53,34,11.3,7,3,19,0.6,4.1,142,67,30.2,12.9,251,69,53.4,9.7,77,42,16.4,8.2,150000,22572,0.276115050350141,0.00100432274999886
567,Heart of Georgia Altamaha,No,31555,3727,ZCTA,ZCTA5 31555,825,146,291,114,35.3,12.3,211,83,25.6,9,87,49,10.5,5.6,144,67,17.5,7.5,71,54,8.6,6.3,20,19,2.4,2.3,1,13,0.1,1.6,0,23,0,2.7,502,141,60.8,13.2,302,99,36.6,10.1,21,32,2.5,3.9,85400,14861,1.6578454710004,0.0366104862065333
568,Northwest Georgia,Partial,30139,3235,ZCTA,ZCTA5 30139,1033,193,124,64,12,5.8,367,134,35.5,11.2,103,45,10,4,130,82,12.6,7.6,140,62,13.6,5.5,159,108,15.4,10.1,10,11,1,1.1,0,23,0,2.2,491,149,47.5,11.3,373,113,36.1,8.6,169,111,16.4,10.3,118800,54526,1.19682073411074,0.0182203199935566
569,Southern Georgia,No,31556,3728,ZCTA,ZCTA5 31556,23,14,11,31,47.8,132,3,26,13,113.5,2,13,8.7,57.8,7,9,30.4,36.9,0,18,0,79.9,0,18,0,79.9,0,18,0,79.9,0,23,0,97.9,14,41,60.9,172.8,9,25,39.1,104.3,0,34,0,149.5,,,0.062070844268869,0.000121130763892057
570,ARC / NW,Yes,30141,3236,ZCTA,ZCTA5 30141,6110,444,160,103,2.6,1.7,824,219,13.5,3.4,1178,219,19.3,3.3,1668,323,27.3,4.9,1637,291,26.8,4.3,477,174,7.8,2.8,112,79,1.8,1.3,54,62,0.9,1,984,242,16.1,3.8,4483,487,73.4,5.9,643,200,10.5,3.2,173900,8154,0.583679052387474,0.00747599050203723
571,Southern Georgia,No,31557,3729,ZCTA,ZCTA5 31557,936,147,355,129,37.9,12.4,135,52,14.4,5.1,151,47,16.1,4.3,146,80,15.6,8.2,101,58,10.8,5.9,31,30,3.3,3.1,17,30,1.8,3.2,0,23,0,2.4,490,139,52.4,12.3,398,109,42.5,9.6,48,48,5.1,5,83800,42380,1.71440874156551,0.0273534190992874
572,ARC / GM / NW,Partial,30143,3237,ZCTA,ZCTA5 30143,6859,417,379,147,5.5,2.1,595,177,8.7,2.5,907,206,13.2,2.9,1101,223,16.1,3.1,1390,268,20.3,3.7,2026,329,29.5,4.5,370,147,5.4,2.1,91,84,1.3,1.2,974,230,14.2,3.2,3398,405,49.5,5.1,2487,371,36.3,4.9,233800,20378,1.68172944852917,0.0355081799610094
573,Coastal Regional Commission,No,31558,3730,ZCTA,ZCTA5 31558,4574,405,257,144,5.6,3.1,501,169,11,3.6,999,212,21.8,4.2,917,217,20,4.4,972,212,21.3,4.2,734,175,16,3.6,194,87,4.2,1.9,0,43,0,0.9,758,222,16.6,4.6,2888,371,63.1,5.9,928,201,20.3,4,180900,10562,1.66397939523552,0.024905095073885
574,Atlanta Regional Commission,Yes,30144,3238,ZCTA,ZCTA5 30144,11525,685,260,144,2.3,1.2,291,149,2.5,1.3,1568,297,13.6,2.4,3364,485,29.2,3.8,4400,444,38.2,3.1,1454,269,12.6,2.2,155,78,1.3,0.7,33,48,0.3,0.4,551,207,4.8,1.8,9332,721,81,4,1642,284,14.2,2.3,205300,6094,0.568510216943864,0.00575796765810519
575,Southern Georgia,No,31501,3695,ZCTA,ZCTA5 31501,3226,365,748,180,23.2,4.9,1179,276,36.5,7.5,713,198,22.1,5.6,286,152,8.9,4.6,170,73,5.3,2.2,71,60,2.2,1.8,27,32,0.8,1,32,52,1,1.6,1927,329,59.7,7.7,1169,260,36.2,6.9,130,86,4,2.6,84400,10494,0.501938687900472,0.00325563240347863
576,Northwest Georgia,Partial,30145,3239,ZCTA,ZCTA5 30145,2365,273,136,72,5.8,3,299,127,12.6,5.2,498,152,21.1,6,604,167,25.5,6.4,462,157,19.5,6.2,342,139,14.5,5.6,24,29,1,1.2,0,33,0,1.4,435,146,18.4,5.8,1564,275,66.1,8.7,366,146,15.5,5.9,167000,10638,1.30595801169434,0.0203346199115523
577,Northwest Georgia,No,30147,3240,ZCTA,ZCTA5 30147,1217,178,150,89,12.3,7.1,468,139,38.5,9.9,284,117,23.3,9,202,105,16.6,8.2,90,60,7.4,4.8,7,23,0.6,1.9,16,26,1.3,2.1,0,33,0,2.7,618,165,50.8,11.3,576,168,47.3,11.9,23,48,1.9,3.9,98800,16396,0.652373242238751,0.004640207370831
578,GM / NW,Partial,30148,3241,ZCTA,ZCTA5 30148,195,88,11,39,5.6,19.7,21,44,10.8,22.2,88,77,45.1,33.9,48,55,24.6,26,27,45,13.8,22.2,0,18,0,9.4,0,18,0,9.4,0,23,0,11.5,32,59,16.4,29.3,163,105,83.6,38.4,0,34,0,17.6,140500,36987,0.502595129817074,0.00274174090291154
579,Northwest Georgia,No,30149,3242,ZCTA,ZCTA5 30149,0,13,0,37,,,0,29,,,0,18,,,0,18,,,0,18,,,0,18,,,0,18,,,0,23,,,0,47,,,0,32,,,0,34,,,,,0.337982699269581,0.00221779948633881
580,Southern Georgia,No,31503,3696,ZCTA,ZCTA5 31503,5509,361,1721,347,31.2,6,1463,249,26.6,4.2,1026,243,18.6,4.2,698,192,12.7,3.4,430,157,7.8,2.8,53,42,1,0.8,34,39,0.6,0.7,84,85,1.5,1.5,3184,427,57.8,6.8,2154,347,39.1,5.8,171,103,3.1,1.9,82700,10195,3.10327307315271,0.082518834318891
581,Heart of Georgia Altamaha,No,31084,3637,ZCTA,ZCTA5 31084,36,23,21,34,58.3,87.6,4,27,11.1,73.8,0,18,0,51.1,0,18,0,51.1,11,19,30.6,49.3,0,18,0,51.1,0,18,0,51.1,0,23,0,62.5,25,43,69.4,112.2,11,32,30.6,87.5,0,34,0,95.5,46300,17526,0.039907146837221,6.87134366213209e-05
582,Northeast Georgia,No,31085,3638,ZCTA,ZCTA5 31085,308,47,37,34,12,10.7,62,35,20.1,11,53,28,17.2,8.9,43,24,14,7.4,49,29,15.9,9.2,58,38,18.8,11.9,6,16,1.9,5.1,0,23,0,7.3,99,49,32.1,15,145,47,47.1,13.6,64,47,20.8,14.8,151600,63180,0.77528783522472,0.0112564765218901
583,CSRA / MG,No,31087,3639,ZCTA,ZCTA5 31087,2175,331,724,200,33.3,7.7,515,153,23.7,6,263,104,12.1,4.4,95,58,4.4,2.6,362,128,16.6,5.3,159,86,7.3,3.8,47,42,2.2,1.9,10,31,0.5,1.4,1239,252,57,7.7,720,174,33.1,6.2,216,100,9.9,4.4,84700,10836,2.33267652601307,0.118311777325373
584,Middle Georgia,No,31088,3640,ZCTA,ZCTA5 31088,13442,828,866,267,6.4,1.9,3136,463,23.3,3.1,3780,604,28.1,4.1,2339,446,17.4,3.1,2060,461,15.3,3.3,1063,338,7.9,2.5,160,119,1.2,0.9,38,47,0.3,0.3,4002,535,29.8,3.5,8179,881,60.8,5.4,1261,361,9.4,2.6,137900,5307,0.756160306478396,0.00787432989670899
585,Heart of Georgia Altamaha,No,31002,3569,ZCTA,ZCTA5 31002,720,114,325,105,45.1,12.8,190,70,26.4,8.8,49,30,6.8,4.1,67,37,9.3,4.9,77,49,10.7,6.6,8,17,1.1,2.4,0,18,0,2.6,4,20,0.6,2.7,515,126,71.5,13.4,193,69,26.8,8.5,12,32,1.7,4.4,58800,16953,1.18398270775533,0.0291654027069586
586,Middle Georgia,No,31003,3570,ZCTA,ZCTA5 31003,37,18,7,33,18.9,88.1,16,23,43.2,57.3,6,8,16.2,20.8,6,5,16.2,11,2,13,5.4,36,0,18,0,49.7,0,18,0,49.7,0,23,0,60.9,23,40,62.2,103.3,14,16,37.8,40.5,0,34,0,93,69300,59608,0.19883238644842,0.00115067080887951
587,CSRA / HOGA,No,31089,3641,ZCTA,ZCTA5 31089,1044,117,272,97,26.1,8.8,464,123,44.4,10.7,109,54,10.4,5,51,30,4.9,2.8,124,56,11.9,5.2,16,18,1.5,1.8,0,18,0,1.8,8,21,0.8,2,736,156,70.5,12.7,284,83,27.2,7.4,24,33,2.3,3.2,77600,6887,1.46985019033845,0.0385448723904664
588,Middle Georgia,No,31005,3571,ZCTA,ZCTA5 31005,4667,358,217,132,4.6,2.8,657,212,14.1,4.4,1010,208,21.6,4.1,1082,253,23.2,5.1,978,233,21,4.7,675,221,14.5,4.6,35,45,0.7,1,13,37,0.3,0.8,874,250,18.7,5.2,3070,401,65.8,7,723,228,15.5,4.7,171700,11047,0.50925399760438,0.00487583548351229
589,Middle Georgia,No,31090,3642,ZCTA,ZCTA5 31090,268,58,77,43,28.7,14.9,104,46,38.8,15.1,53,31,19.8,10.9,17,14,6.3,5.1,17,20,6.3,7.3,0,18,0,6.9,0,18,0,6.9,0,23,0,8.4,181,63,67.5,18.6,87,40,32.5,13.1,0,34,0,12.8,77800,15760,1.44337998993286,0.0366704765061502
590,River Valley,No,31006,3572,ZCTA,ZCTA5 31006,1275,151,340,124,26.7,9.2,389,136,30.5,10,187,94,14.7,7.2,137,58,10.7,4.4,185,119,14.5,9.2,20,17,1.6,1.3,0,18,0,1.4,17,29,1.3,2.3,729,184,57.2,12.7,509,163,39.9,11.9,37,38,2.9,3,84000,17103,1.80234566378091,0.0454429116205826
591,River Valley,No,31007,3573,ZCTA,ZCTA5 31007,348,86,93,43,26.7,10.3,161,57,46.3,11.9,40,29,11.5,7.9,26,27,7.5,7.6,13,13,3.7,3.7,0,18,0,5.3,8,16,2.3,4.7,7,21,2,6,254,71,73,9.8,79,42,22.7,10.7,15,32,4.3,9.2,66500,4069,0.958101481844271,0.0155739747938477
592,Middle Georgia,No,31008,3574,ZCTA,ZCTA5 31008,5300,433,865,246,16.3,4.4,944,253,17.8,4.5,1102,289,20.8,5.2,1453,328,27.4,5.8,744,231,14,4.2,132,85,2.5,1.6,60,57,1.1,1.1,0,36,0,0.7,1809,352,34.1,6,3299,495,62.2,7.8,192,108,3.6,2,139700,11964,0.931290096669848,0.0174678175254274
593,MG / RV,No,31091,3643,ZCTA,ZCTA5 31091,989,210,233,89,23.6,7.5,383,132,38.7,10.5,129,82,13,7.8,129,74,13,6.9,115,79,11.6,7.6,0,18,0,1.9,0,18,0,1.9,0,23,0,2.3,616,159,62.3,9.1,373,136,37.7,11.2,0,34,0,3.5,84300,5659,1.03833103218345,0.0218464422586548
594,Heart of Georgia Altamaha,No,31009,3575,ZCTA,ZCTA5 31009,377,80,114,51,30.2,11.8,161,63,42.7,14.1,32,21,8.5,5.3,51,39,13.5,9.8,10,11,2.7,2.8,9,18,2.4,4.7,0,18,0,4.9,0,23,0,6,275,81,72.9,14.9,93,45,24.7,10.8,9,34,2.4,9,69400,11354,0.907339845457722,0.0178548740016946
595,River Valley,No,31092,3644,ZCTA,ZCTA5 31092,1761,287,431,185,24.5,9.7,550,188,31.2,9.4,439,153,24.9,7.7,203,108,11.5,5.9,81,66,4.6,3.7,57,50,3.2,2.8,0,27,0,1.5,0,33,0,1.9,981,264,55.7,11.9,723,199,41.1,9.1,57,65,3.2,3.7,88500,14181,1.58084609978141,0.046873067070719
596,Middle Georgia,No,31093,3645,ZCTA,ZCTA5 31093,5511,390,750,199,13.6,3.5,2535,396,46,6.4,1143,259,20.7,4.5,640,175,11.6,3.1,133,71,2.4,1.3,128,81,2.3,1.5,182,88,3.3,1.6,0,43,0,0.8,3285,443,59.6,6.8,1916,321,34.8,5.3,310,127,5.6,2.3,91400,4583,0.661441978079729,0.00494418978586044
597,Central Savannah River Area,No,31094,3646,ZCTA,ZCTA5 31094,369,75,71,51,19.2,13.2,127,64,34.4,15.8,54,47,14.6,12.3,29,17,7.9,4.3,53,39,14.4,10.1,18,21,4.9,5.7,17,26,4.6,7.1,0,23,0,6.1,198,82,53.7,19.2,136,63,36.9,15.4,35,41,9.5,10.9,97100,10095,1.01101911211882,0.027236785198265
598,CSRA / HOGA,No,31096,3647,ZCTA,ZCTA5 31096,1665,233,664,170,39.9,8.5,522,121,31.4,5.8,304,98,18.3,5.3,106,50,6.4,2.9,48,34,2.9,2,21,28,1.3,1.7,0,27,0,1.6,0,33,0,2,1186,209,71.2,7.6,458,116,27.5,5.8,21,51,1.3,3.1,62900,6842,1.32079734728948,0.0429334735850683
599,MG / TR,No,31097,3648,ZCTA,ZCTA5 31097,397,80,68,43,17.1,10.2,112,37,28.2,7.3,125,52,31.5,11.5,19,15,4.8,3.7,45,42,11.3,10.4,13,25,3.3,6.2,14,18,3.5,4.5,1,19,0.3,4.7,180,56,45.3,10.9,189,69,47.6,14.4,28,36,7.1,8.9,106900,15469,0.823174152242718,0.0134728823458066
600,Middle Georgia,No,31098,3649,ZCTA,ZCTA5 31098,5,7,0,37,0,735.4,0,29,0,581.4,0,18,0,367.7,5,15,100,260,0,18,0,367.7,0,18,0,367.7,0,18,0,367.7,0,23,0,450.3,0,47,0,937.4,5,30,100,581.4,0,34,0,687.9,,,0.500460025099759,0.00462735813628054
601,Atlanta Regional Commission,Yes,30238,3284,ZCTA,ZCTA5 30238,7035,431,519,145,7.4,2,2855,380,40.6,4.8,1616,303,23,4.1,1274,279,18.1,3.8,482,153,6.9,2.1,68,60,1,0.9,79,55,1.1,0.8,142,86,2,1.2,3374,407,48,5,3372,440,47.9,5.5,289,118,4.1,1.7,104000,7743,0.540411658651084,0.00428210239328358
602,Three Rivers,No,30240,3285,ZCTA,ZCTA5 30240,6608,330,707,193,10.7,2.9,1037,224,15.7,3.3,1334,237,20.2,3.4,1183,195,17.9,2.8,1553,302,23.5,4.4,480,128,7.3,1.9,299,125,4.5,1.9,15,43,0.2,0.7,1744,295,26.4,4.3,4070,431,61.6,5.7,794,184,12,2.7,157500,9075,1.25973306521012,0.0417576097840758
603,Three Rivers,No,30241,3286,ZCTA,ZCTA5 30241,4153,354,409,118,9.8,2.7,973,193,23.4,4.2,1169,231,28.1,5,674,163,16.2,3.7,565,130,13.6,2.9,236,105,5.7,2.5,49,36,1.2,0.9,78,75,1.9,1.8,1382,226,33.3,4.6,2408,312,58,5.6,363,134,8.7,3.1,126500,9631,1.19630644924486,0.0281891072040539
604,ARC / TR,Partial,30248,3287,ZCTA,ZCTA5 30248,6839,495,360,158,5.3,2.3,356,144,5.2,2.1,1744,320,25.5,4.3,2111,377,30.9,5,1235,331,18.1,4.7,833,201,12.2,2.8,170,87,2.5,1.3,30,44,0.4,0.6,716,213,10.5,3,5090,595,74.4,6.8,1033,224,15.1,3.1,168100,5456,1.03533509128937,0.01786221634198
605,Middle Georgia,No,31201,3650,ZCTA,ZCTA5 31201,692,106,213,65,30.8,8.1,181,66,26.2,8.6,75,52,10.8,7.4,52,34,7.5,4.8,92,40,13.3,5.4,46,29,6.6,4,33,22,4.8,3.1,0,33,0,4.8,394,92,56.9,10.1,219,74,31.6,9.6,79,49,11.4,6.9,76300,12830,0.419603997698691,0.00273714874983017
606,Atlanta Regional Commission,Yes,30250,3288,ZCTA,ZCTA5 30250,0,13,0,37,,,0,29,,,0,18,,,0,18,,,0,18,,,0,18,,,0,18,,,0,23,,,0,47,,,0,32,,,0,34,,,,,0.0559461279355557,6.74936807755346e-05
607,Three Rivers,No,30251,3289,ZCTA,ZCTA5 30251,564,111,54,50,9.6,8.7,109,55,19.3,9,167,116,29.6,19.7,134,69,23.8,11.3,33,35,5.9,6,65,65,11.5,11.4,0,18,0,3.3,2,19,0.4,3.3,163,75,28.9,12,334,139,59.2,21.8,67,70,11.9,12.3,124000,34260,0.539112683234795,0.00868973527865243
608,ARC / TR,Yes,30252,3290,ZCTA,ZCTA5 30252,12577,563,241,136,1.9,1.1,761,277,6.1,2.2,1979,365,15.7,2.8,2977,448,23.7,3.4,3804,546,30.2,4.1,2524,384,20.1,2.9,254,135,2,1.1,37,72,0.3,0.6,1002,309,8,2.4,8760,795,69.7,5.5,2815,413,22.4,3.1,208000,9332,1.08147135745247,0.0232372406576844
609,Atlanta Regional Commission,Yes,30253,3291,ZCTA,ZCTA5 30253,11159,645,377,173,3.4,1.5,917,267,8.2,2.3,2005,330,18,2.8,3888,461,34.8,3.6,2551,413,22.9,3.5,949,213,8.5,1.8,375,140,3.4,1.2,97,79,0.9,0.7,1294,318,11.6,2.8,8444,701,75.7,4.5,1421,267,12.7,2.3,178300,5168,0.707174120732348,0.0123071354997269
610,Three Rivers,No,30256,3292,ZCTA,ZCTA5 30256,813,128,93,68,11.4,8.1,202,78,24.8,8.8,145,94,17.8,11.3,180,82,22.1,9.5,124,60,15.3,6.9,40,31,4.9,3.7,0,18,0,2.3,29,38,3.6,4.6,295,104,36.3,11.4,449,139,55.2,14.7,69,52,8.5,6.3,133900,35677,0.640451156206411,0.0086898433054233
611,Middle Georgia,No,31204,3651,ZCTA,ZCTA5 31204,5632,299,834,158,14.8,2.7,2323,293,41.2,4.7,1214,190,21.6,3.2,690,147,12.3,2.5,316,96,5.6,1.7,158,65,2.8,1.1,77,41,1.4,0.7,20,33,0.4,0.6,3157,333,56.1,5.1,2220,259,39.4,4.1,255,84,4.5,1.5,90600,5364,0.468509666019874,0.0036957492005625
612,Three Rivers,No,30257,3293,ZCTA,ZCTA5 30257,1330,207,47,60,3.5,4.5,271,130,20.4,9.3,366,148,27.5,10.3,153,75,11.5,5.4,320,119,24.1,8.1,130,93,9.8,6.8,39,47,2.9,3.5,4,20,0.3,1.5,318,144,23.9,10.1,839,204,63.1,11.8,173,106,13,7.7,146900,24939,0.942374602970774,0.0112702731441649
613,Three Rivers,No,30258,3294,ZCTA,ZCTA5 30258,855,124,94,46,11,5.1,194,88,22.7,9.7,159,72,18.6,8,133,57,15.6,6.2,146,61,17.1,6.7,119,83,13.9,9.5,3,15,0.4,1.8,7,21,0.8,2.5,288,99,33.7,10.5,438,110,51.2,10.5,129,87,15.1,9.9,137800,39461,0.885913009844108,0.0141911110641517
614,Middle Georgia,No,31206,3652,ZCTA,ZCTA5 31206,3828,393,1274,226,33.3,4.8,1772,283,46.3,5.7,364,150,9.5,3.8,312,145,8.2,3.7,62,44,1.6,1.1,25,33,0.7,0.9,10,30,0.3,0.8,9,38,0.2,1,3046,362,79.6,4.8,738,213,19.3,5.2,44,58,1.1,1.5,66900,5193,0.836465062346812,0.00701951498441741
615,Three Rivers,Yes,30259,3295,ZCTA,ZCTA5 30259,994,89,24,33,2.4,3.3,143,64,14.4,6.4,66,35,6.6,3.5,305,94,30.7,9,156,65,15.7,6.4,177,63,17.8,6.2,98,59,9.9,5.8,25,26,2.5,2.7,167,72,16.8,7.1,527,119,53,11,300,90,30.2,8.7,193900,18685,0.575625539075837,0.00878838308622531
616,Atlanta Regional Commission,Yes,30260,3296,ZCTA,ZCTA5 30260,3777,364,462,166,12.2,4.2,1477,276,39.1,6.3,1030,265,27.3,6.5,431,148,11.4,3.8,283,138,7.5,3.6,47,59,1.2,1.5,13,15,0.3,0.4,34,44,0.9,1.2,1939,323,51.3,7,1744,333,46.2,7.6,94,75,2.5,2,97600,10183,0.43256007718024,0.00286545206188799
617,Three Rivers,Partial,30263,3297,ZCTA,ZCTA5 30263,13990,562,663,198,4.7,1.4,1083,231,7.7,1.6,3067,412,21.9,2.8,3042,424,21.7,2.9,3377,415,24.1,2.8,2164,386,15.5,2.7,515,128,3.7,0.9,79,74,0.6,0.5,1746,304,12.5,2.1,9486,723,67.8,4.4,2758,413,19.7,2.8,185800,6667,1.46688407250832,0.0506647497991971
618,Three Rivers,Yes,30265,3298,ZCTA,ZCTA5 30265,9569,371,178,87,1.9,0.9,127,76,1.3,0.8,1140,237,11.9,2.4,2447,363,25.6,3.7,3160,343,33,3.3,2031,309,21.2,3.1,453,136,4.7,1.4,33,47,0.3,0.5,305,116,3.2,1.2,6747,553,70.5,5.1,2517,340,26.3,3.4,222900,6778,0.729954853115964,0.0108577371760592
619,ARC / TR,Yes,30268,3299,ZCTA,ZCTA5 30268,2497,308,144,123,5.8,4.9,547,186,21.9,6.9,384,122,15.4,4.5,433,157,17.3,5.9,413,176,16.5,6.8,373,114,14.9,4.2,142,57,5.7,2.2,61,58,2.4,2.3,691,222,27.7,8.2,1230,266,49.3,8.8,576,140,23.1,4.8,162900,12220,0.921278637051901,0.016709881887769
620,Atlanta Regional Commission,Yes,30269,3300,ZCTA,ZCTA5 30269,10267,389,176,91,1.7,0.9,208,104,2,1,375,134,3.7,1.3,1017,191,9.9,1.8,2311,314,22.5,2.9,4529,377,44.1,3.3,1571,209,15.3,2,80,62,0.8,0.6,384,138,3.7,1.3,3703,391,36.1,3.6,6180,435,60.2,3.6,338700,8547,0.406411450042265,0.00652727004749533
621,Atlanta Regional Commission,Yes,30273,3301,ZCTA,ZCTA5 30273,3570,500,413,273,11.6,7.5,1219,360,34.1,8.9,1208,425,33.8,10.9,522,171,14.6,4.3,184,124,5.2,3.4,0,30,0,0.8,24,44,0.7,1.2,0,36,0,1,1632,452,45.7,10.9,1914,475,53.6,11,24,65,0.7,1.8,105900,12978,0.277616514398068,0.00165621544280553
622,Atlanta Regional Commission,Yes,30274,3302,ZCTA,ZCTA5 30274,5241,399,726,221,13.9,4.1,2472,397,47.2,6.7,1380,282,26.3,5,537,154,10.2,2.8,42,41,0.8,0.8,10,32,0.2,0.6,74,64,1.4,1.2,0,48,0,0.9,3198,454,61,7.3,1959,324,37.4,5.5,84,87,1.6,1.6,86700,4145,0.475012521011199,0.00267022579162911
623,Three Rivers,Yes,30275,3303,ZCTA,ZCTA5 30275,21,33,0,37,0,175.1,21,42,100,123.8,0,18,0,87.5,0,18,0,87.5,0,18,0,87.5,0,18,0,87.5,0,18,0,87.5,0,23,0,107.2,21,56,100,214.4,0,32,0,151.6,0,34,0,163.8,,,0.039663905483832,2.69177998155874e-05
624,ARC / TR,Partial,30276,3304,ZCTA,ZCTA5 30276,4860,324,82,67,1.7,1.4,305,137,6.3,2.8,694,162,14.3,3.2,921,217,19,4.3,1125,190,23.1,3.6,1463,259,30.1,4.9,256,100,5.3,2,14,37,0.3,0.8,387,153,8,3.1,2740,331,56.4,5.7,1733,280,35.7,5.2,237800,18093,1.08078327858857,0.0249428273586267
625,Three Rivers,Yes,30277,3305,ZCTA,ZCTA5 30277,7188,374,120,62,1.7,0.9,274,127,3.8,1.8,713,167,9.9,2.3,1317,263,18.3,3.5,2500,323,34.8,4.1,1979,285,27.5,3.7,280,123,3.9,1.7,5,36,0.1,0.5,394,141,5.5,1.9,4530,449,63,5.3,2264,313,31.5,4,243800,8561,0.861512861565051,0.0113512082158767
626,Atlanta Regional Commission,Yes,30281,3306,ZCTA,ZCTA5 30281,14580,705,800,192,5.5,1.3,2016,359,13.8,2.4,3956,494,27.1,3.1,3374,426,23.1,2.7,3104,473,21.3,3.1,1187,272,8.1,1.8,96,50,0.7,0.3,47,38,0.3,0.3,2816,407,19.3,2.6,10434,806,71.6,4.3,1330,279,9.1,1.9,156400,5710,0.952626215468721,0.0179019153837955
627,Three Rivers,Yes,30284,3307,ZCTA,ZCTA5 30284,16,16,4,35,25,217.9,1,26,6.3,164.3,11,14,68.8,53,0,18,0,114.9,0,18,0,114.9,0,18,0,114.9,0,18,0,114.9,0,23,0,140.7,5,44,31.3,272.4,11,29,68.8,170.9,0,34,0,215,118800,78812,0.0217198827879635,2.36960050019708e-05
628,Three Rivers,No,30285,3308,ZCTA,ZCTA5 30285,213,78,70,52,32.9,21.2,91,67,42.7,27.2,0,18,0,8.6,26,32,12.2,14.2,14,24,6.6,10.9,12,23,5.6,10.6,0,18,0,8.6,0,23,0,10.6,161,85,75.6,28.5,40,44,18.8,19.4,12,37,5.6,17.3,73600,20594,0.533492436908009,0.00432134760615506
